Gene	log2FoldChange	pvalue	padj
hsa-miR-190a-5p	0.148525813	0.858659272	0.908659766
hsa-miR-345-5p	-0.092616379	0.859902413	0.908659766
hsa-miR-296-3p	0.141733904	0.863684961	0.910310628
hsa-miR-877-5p	-0.112085128	0.870485327	0.914215799
hsa-miR-222-3p	0.110353984	0.871849701	0.914215799
hsa-miR-484	-0.091260243	0.875578285	0.91578341
hsa-miR-340-3p	0.101920032	0.887389274	0.925706371
hsa-miR-98-3p	0.108982568	0.889581244	0.925706371
hsa-miR-181a-2-3p	-0.096208971	0.892715606	0.926616199
hsa-miR-641	0.122378445	0.895858109	0.927529861
hsa-miR-27b-3p	-0.085249813	0.901591885	0.930719421
hsa-miR-1277-3p	0.120187198	0.903478853	0.930719421
hsa-miR-500a-5p	-0.075533512	0.919196732	0.944537995
hsa-miR-186-5p	-0.058918541	0.922585832	0.945650477
hsa-miR-548aa	0.071495496	0.93413521	0.955100838
hsa-miR-24-1-5p	-0.052574779	0.939405987	0.958100633
hsa-let-7d-5p	0.038164213	0.95040618	0.966914476
hsa-miR-660-3p	0.034336045	0.958881269	0.96987427
hsa-miR-330-3p	0.034329402	0.960391146	0.96987427
hsa-miR-30c-5p	0.026482449	0.960412082	0.96987427
hsa-let-7f-5p	0.03052599	0.963292534	0.97039297
hsa-miR-642a-5p	-0.045957057	0.970310309	0.974425404
hsa-miR-1307-3p	-0.021119433	0.972279484	0.974425404
hsa-miR-625-5p	-0.018037876	0.974425404	0.974425404
